name,t_value,p_value
pronoun,-6.790650442166875,1.1849321779659746e-10
ppron,-11.79384669144662,9.397735448742837e-26
i,-10.27548540265416,1.3146999527740933e-22
we,-0.7378421587428492,0.4606435822946766
you,-12.833903446311703,3.715460996212394e-28
shehe,-5.610165219170158,7.25249919667631e-08
they,-1.941522210392189,0.05224878250488047
ipron,-1.6316712183462505,0.10457935792008835
TenseM,-2.2118893006174916,0.0281784779374606
PastM,-5.154746420375361,6.103259691318936e-07
PresentM,3.5945478734386413,0.0004294283372268439
FutureM,-3.55865073381412,0.00048638894399338116
ProgM,-4.344372037019316,2.2907357275147075e-05
affect,0.2955669815247818,0.7679119947152775
posemo,-0.9485772179080699,0.3441867331061227
negemo,1.3591718872622989,0.17593327266150285
anx,0.059087068302240656,0.9528850234455324
anger,-0.10699107152886485,0.9148001800408941
sad,-0.6430959611633187,0.5201901206344757
death,-4.364223257189451,2.085916972888513e-05
preps,2.508758403328853,0.013027498346339416
conj,2.6174408874493933,0.009621548467114598
cogmech,2.1832646243938156,0.030312532728940893
insight,-2.4269096678137227,0.016178270399479232
cause,2.680198700446346,0.008082919196768618
discrep,3.2262107088028475,0.0015098106778045808
tentat,3.6788663426355392,0.00031839104609159843
certain,-1.499869209484773,0.13543553797103788
inhib,4.3759597505549594,1.2326050949101495e-05
incl,2.4302967196319614,0.016092536214036363
excl,-2.4729471662851177,0.014285582097735255
bio,3.59220388015328,0.0004322578867712156
body,3.929332568537076,8.628422889379879e-05
health,1.4710090613327274,0.14134902373228467
sexual,0.860063748455412,0.389793453791041
ingest,2.1128537740161355,0.03466069556963143
social,-9.040756308315208,1.0625844323881995e-16
family,-5.961058323873037,1.0963112208994528e-08
friend,-9.680850151204208,3.715578610585747e-18
humans,-4.098513881407892,6.27179520947816e-05
percept,1.586193647546292,0.11275603994034988
see,0.09534531977927413,0.9240442113042726
hear,-0.7188637983033137,0.47225706399191536
feel,1.8983384501653018,0.05770668950566063
achieve,2.930578203437997,0.003853975295216506
adverb,-0.2165945300449636,0.828766633092354
assent,2.717573221817209,0.007263852546861061
auxverb,3.1165295033702,0.0021562296756821395
filler,-3.980196931332592,9.857509489783807e-05
funct,0.22212778612950373,0.8244604768244965
home,-0.7395904765593152,0.45958182458249974
Interjunction,0.4595630405084502,0.6463575107220139
leisure,-0.2915094953572756,0.7706732813344822
money,-5.57066908537721,7.746886779744721e-08
motion,0.204763441228507,0.8379915079478188
MultiFun,1.6179040398353044,0.1074091701857474
negate,-1.5976649566015486,0.11187962555104236
nonfl,-0.8404300206925759,0.40070586714626344
number,-3.6207175026319613,0.0003827616402981988
PrepEnd,1.4350024366493652,0.15313764404314711
quant,1.0904064871749528,0.27707199246538683
QuanUnit,-0.003065313931837802,0.9975578571756174
relativ,-0.6208031965564133,0.5355015712737221
relig,-1.7743434717500142,0.07606470669647795
space,1.069430661140391,0.2864054402233136
SpecArt,0.10291142224915202,0.9181571200340749
swear,0.47998686944458047,0.6312568680466304
time,-2.998252868128113,0.0030819995497237203
verb,0.14601221150766078,0.8840707481084003
work,-2.3733886218087776,0.018743621759227932
youpl,-0.2160185306065546,0.8289817549832523
