name,t_value,p_value
pronoun,12.842488701109577,2.4587429588119705e-34
ppron,13.501946703279664,1.4686474733971045e-38
i,12.012981032188488,1.6563949723087398e-31
we,0.8869365244960125,0.37528716684621544
you,7.100526269196054,4.075357309305138e-12
shehe,13.098526858214264,1.1750734258256297e-36
they,11.639632872533776,1.1970074883552809e-29
ipron,8.939184959414492,1.9243817752371603e-17
TenseM,16.398959767106927,3.421460385974626e-48
PastM,18.104057427044413,8.27825270200186e-64
PresentM,7.73440996031233,1.265688232718544e-13
FutureM,14.29832811169645,2.2833996396677875e-36
ProgM,14.412756766878319,3.877581605376082e-38
affect,6.187568733264605,2.111402924987578e-09
posemo,10.37332127450402,1.1392846863844438e-22
negemo,1.040455762581606,0.2992777369167499
anx,2.601814771569915,0.009951204462271884
anger,4.595516428575999,6.091953989371911e-06
sad,1.5977823932925184,0.11034930811718656
death,3.619087140932771,0.00034537227231791685
preps,11.939970929462696,4.656698606822267e-28
conj,5.595040745292927,4.888433660832528e-08
cogmech,7.557610034862203,4.3965450187536463e-13
insight,15.307052704411085,1.3747586193042194e-43
cause,-0.23048804388670763,0.8177510378975443
discrep,-0.811212099578611,0.4174014606668275
tentat,2.7654411333732436,0.006099293744360109
certain,10.844776121642425,3.819871964982471e-24
inhib,5.773775493977762,1.6694786025402074e-08
incl,7.615219820163718,3.139744596696461e-13
excl,5.757693121962558,1.8975307021519714e-08
bio,-11.918444802813601,9.220963632509934e-24
body,-7.817401101286256,8.545313794053034e-13
health,-11.43001319529566,1.1469818290966715e-22
sexual,0.4184460605289703,0.6756943632295485
ingest,-8.296158287669266,5.05885448555593e-14
social,21.39860226308137,2.037109853048107e-83
family,11.369658066492677,1.5963564028048704e-28
friend,11.034961037878022,7.865265351674421e-27
humans,14.654738872597424,2.0756912440741938e-42
percept,1.4787395108864314,0.13946702843202002
see,5.288611668346405,3.2411362693471084e-07
hear,10.452005655239473,1.319304040823932e-22
feel,-3.2239621049551763,0.0015069536097878505
achieve,9.987314707357985,2.2651894762764817e-21
adverb,7.7438252632664994,1.0191973253208555e-13
assent,1.04487207661715,0.29628823357029693
auxverb,-0.627266466287449,0.530601474269232
filler,3.6123373546757165,0.00035593188050413665
funct,11.132091325520426,3.804456052426807e-25
home,10.702130681000131,1.884199631418859e-24
Interjunction,8.78405262191775,4.9442635985046535e-17
leisure,4.147267460194824,4.208288625202557e-05
money,17.3273611371115,2.5123623864109106e-60
motion,16.460823535944183,3.148125792676934e-48
MultiFun,6.377377890291553,5.691449106581472e-10
negate,7.111587101424164,6.4835853517543055e-12
nonfl,3.3386180578291005,0.0009206912096685817
number,13.220165558449482,2.066473439571894e-34
PrepEnd,8.945435957454809,4.450450771942653e-17
quant,6.490296876129602,3.5686161823791843e-10
QuanUnit,18.23902010734866,6.0997553551530994e-58
relativ,18.9894495181429,1.2735751152740359e-61
relig,8.614915823207957,4.0224741255010953e-16
space,16.286496943339294,7.530830871858056e-48
SpecArt,13.462058778623467,7.713119652871108e-34
swear,-0.8495506089771578,0.39574097811756437
time,19.97059050750306,9.253757843514866e-68
verb,8.984738082735175,1.5915808185094063e-17
work,21.79098864839315,8.810041559770343e-87
youpl,4.5416595762394465,6.628957503828403e-06
